full_name,title,company,batch,linkedin,segment,dm_angle,one_liner
Vishnu Tejus,Founder and CTO,10x Science,W26,https://www.linkedin.com/in/vishnutejus,technical,technical-peer (evals/production reliability),The AI-native platform for next-generation protein characterization.
Sven Myhre,"Co-founder, CTO",Ara,P26,https://www.linkedin.com/in/svemy/,technical,technical-peer (evals/production reliability),Ara is the self-driving IDE for software teams.
Chawit Asavasaetakul,Co-Founder and CTO,Avoice,W26,https://www.linkedin.com/in/chawit-asavasaetakul-a487a724b/,technical,technical-peer (evals/production reliability),Harvey for Architecture
Zach Zhong,Founder/CTO,Bubble Lab,W26,https://www.linkedin.com/in/zzy0516,technical,technical-peer (evals/production reliability),"Prompt once, automate forever."
Edgar Babajanyan,Co-Founder and CTO,Captain,W26,https://www.linkedin.com/in/edgar-babajanyan-a28230217/,technical,technical-peer (evals/production reliability),Give AI agents accurate knowledge search that scales
Sarman Aulakh,Co-Founder & CTO,Chasi,W26,https://www.linkedin.com/in/sarmanaulakh/,technical,technical-peer (evals/production reliability),AI Revenue Engine for the Equipment Industry 
Fred Fooks,CTO & Co-Founder,Dayjob,P26,https://linkedin.com/in/frederic-fooks,technical,technical-peer (evals/production reliability),AI Agents for Industrial Logistics
James Heaney,"Founder, CTO",Grade,W26,https://linkedin.com/in/jvheaney,technical,technical-peer (evals/production reliability),API for performance-based payroll
Andrei Zhevlakov,Co-Founder CTO,"HEVN, inc",P26,https://www.linkedin.com/in/azbang,technical,technical-peer (evals/production reliability),b2b banking for global payments
Eunju Moon,"Co-Founder, CTO",Instinct,W26,https://www.linkedin.com/in/eunju-moon-a65823202/,technical,technical-peer (evals/production reliability),Trade your instinct
Julien Catonnet,Co-founder & CTO,Klaimee,P26,https://www.linkedin.com/in/julien-catonnet-18624162/,technical,technical-peer (evals/production reliability),"Liability insurance for AI Agents. You deploy agents, we cover you."
Kartikesh Mishra,Cofounder and CTO,Lamina Labs,P26,https://www.linkedin.com/in/mk314k/,technical,technical-peer (evals/production reliability),AI infrastructure for instant explainer videos at scale
Saheed Akinbile,Co-founder & CTO,Minicor,P26,https://linkedin.com/in/saheed-akinbile,technical,technical-peer (evals/production reliability),RPA platform for deploying AI into legacy desktop systems
Joseph McAllister,Co-Founder & CTO,MouseCat,W26,https://www.linkedin.com/in/joseph-mcallister/,technical,technical-peer (evals/production reliability),AI-powered fraud investigations
Yaman Ziadeh,Founder & CTO,Panacea,P26,https://www.linkedin.com/in/yaman-ziadeh,technical,technical-peer (evals/production reliability),AI-Native FDA Regulatory Services
Hassan Mostafa,Co-Founder & CTO,RASPIRE,P26,https://www.linkedin.com/in/h4ss4nmostafa/,technical,technical-peer (evals/production reliability),No-code runtime app security with AI
Saai Arora,Founder/CTO,Replicas,P26,https://www.linkedin.com/in/saai-arora-2a94921b9/,technical,technical-peer (evals/production reliability),Run any coding agent harness in the cloud
Savio Martin,Co-Founder & CTO,Result,P26,https://www.linkedin.com/in/saviomartin/,technical,technical-peer (evals/production reliability),Where new internet entrepreneurs build and run their companies
Jennifer Prasetyo,Co-Founder and CTO,Saudara AI,P26,https://www.linkedin.com/in/jenniferprasetyo,technical,technical-peer (evals/production reliability),AI Native Sourcing Broker For Overseas Manufacturing
Alexzendor Misra,Founder & CTO,Shofo,W26,https://www.linkedin.com/in/alexzendor-misra-15907a23b/,technical,technical-peer (evals/production reliability),The World's Largest Video Library
Taira Fujioka,Co-Founder & CTO,Smartbase,P26,https://www.linkedin.com/in/taira-fujioka1999420/,technical,technical-peer (evals/production reliability),AI-native ERP for manufacturers
George Kolokotronis,Co-Founder / CTO,Squid,W26,https://www.linkedin.com/in/george-kolokotronis/,technical,technical-peer (evals/production reliability),AI agents for power grid planning  🦑 
Petrus Werner,Co-founder & CTO,Stilta,W26,https://www.linkedin.com/in/petruswerner/,technical,technical-peer (evals/production reliability),Agentic AI for intellectual property
Arseniy Shishaev,Co-Founder and CTO,Superlog,P26,https://linkedin.com/in/arseniy-shishaev,technical,technical-peer (evals/production reliability),Observability that installs itself and fixes the bugs it finds.
Danyal Ahmad,Co-Founder & CTO,Twolabs,P26,https://www.linkedin.com/in/danyalahmad1/,technical,technical-peer (evals/production reliability),Humanoid robots for caregiving.
Tom Achache,Founder/CTO,Unisson,W26,https://www.linkedin.com/in/tom-achache/,technical,technical-peer (evals/production reliability),AI agents that automate B2B software implementation
Sydney Katz,Co-Founder and CTO,Valgo,W26,https://www.linkedin.com/in/smkatz/,technical,technical-peer (evals/production reliability),Insurance risk layer for physical AI
Keenan Venuti,Founder/CTO,Vector Legal,W26,https://www.linkedin.com/in/keenan-venuti-in/,technical,technical-peer (evals/production reliability),The premier AI-native law firm & legal operating system for Startups.
Lukas Postulka,Co-Founder & CTO,Walter,P26,https://www.linkedin.com/in/postulkalukas,technical,technical-peer (evals/production reliability),AI Employee for Manufacturing Operations
Zac Policzer,Founder and CTO,Zibra Labs,P26,https://www.linkedin.com/in/zac-policzer-41160157,technical,technical-peer (evals/production reliability),Distributed Compute for AI
Tony Montes,Founder/CTO,Zolvo,P26,https://www.linkedin.com/in/t-montes,technical,technical-peer (evals/production reliability),AI that automates servicing for commercial lenders
Shyamsundar Shrestha,Co-Founder & CTO,tday.com,P26,https://www.linkedin.com/in/sshresthh/,technical,technical-peer (evals/production reliability),AI that turns your product into on-brand marketing content
Daniel Kathein,"Founder, CTO",Absurd,F25,https://www.linkedin.com/in/daniel-kathein/,technical,technical-peer (evals/production reliability),AI Videos
Alex Odin,Founder / CTO,Adentris,P25,https://www.linkedin.com/in/odinalex/,technical,technical-peer (evals/production reliability),Real-time AI Compliance for Medical Documentation
Kevan Dodhia,Co-Founder & CTO,Alter,S25,https://linkedin.com/in/kevan-dodhia-760183129,technical,technical-peer (evals/production reliability),Secure access control and authorization platform for agent workflows
Matthew Blackburn,Co-Founder & CTO,Auctor,P25,https://linkedin.com/in/matthewblackburn0,technical,technical-peer (evals/production reliability),The agentic operating system for modern system integrators.
Ambar Choudhury,"Co-Founder, CTO",BitBoard,P25,https://linkedin.com/in/ambar-choudhury-92681038,technical,technical-peer (evals/production reliability),Let your agent build dashboards and reporting.
Jose Toscano,CTO & Co-Founder,Boom AI,F25,https://www.linkedin.com/in/josecarlostoscano/,technical,technical-peer (evals/production reliability),AI agents that recover lost revenue through real conversations.
Avinash Joshi,Co-founder & CTO,Cactus,P25,https://linkedin.com/in/joshi-avinash,technical,technical-peer (evals/production reliability),All-In-One AI Growth Partner. Built for Trades.
Ian Saultz,Founder & CTO,Casco,P25,https://www.linkedin.com/in/iansaultz/,technical,technical-peer (evals/production reliability),"Autonomous security testing for web apps, APIs, cloud, and AI systems"
Tyler Chen,CTO & Co-Founder,Caucus,P25,https://www.linkedin.com/in/tyler-chen-43570b241/,technical,technical-peer (evals/production reliability),AI CRM for Government
Bhavnick Minhas,CTO & Co-founder,Chonkie,P25,https://www.linkedin.com/in/bhavnicksm/,technical,technical-peer (evals/production reliability),Deep research on autopilot
Gilad Levy,Co-Founder and CTO,Closure,W25,https://www.linkedin.com/in/gilad-levy/,technical,technical-peer (evals/production reliability),We help law enforcement solve crime
Dan Hyman,Founder/CTO,Coasts,F25,https://www.linkedin.com/in/dan-hyman-dev/,technical,technical-peer (evals/production reliability),Localhost service isolation and orchestration for git worktrees
Tomer Kulla,Co-Founder & CTO,Conntour,W25,https://www.linkedin.com/in/tomer-kulla/,technical,technical-peer (evals/production reliability),AI to monitor thousands of security cameras.
Rahul Vijayan, Co-Founder & CTO,Convexia,S25,https://www.linkedin.com/in/rahulvijayan28/,technical,technical-peer (evals/production reliability),The world's first AI-maximalist pharma company
Alan Duong,"Founder, CTO",Cyberdesk,S25,https://linkedin.com/in/alanduong07,technical,technical-peer (evals/production reliability),Self learning computer use agent for developers
Berkley Noble,Founder/CTO,Duranium,S25,https://www.linkedin.com/in/berkleynoble/,technical,technical-peer (evals/production reliability),Reshoring critical metal production
Ishan Sheth,Founder & CTO,Ergo,W25,https://www.linkedin.com/in/isheth/,technical,technical-peer (evals/production reliability),AI agents and unified data layer for revenue teams
Aidan Cantu,CTO & Co-Founder,F4 Industries,S25,https://www.linkedin.com/in/aidan-cantu/,technical,technical-peer (evals/production reliability),The GD&T Analysis Platform for Engineering Drawings
Linus Boehm,Co-Founder & CTO,Finto,S25,https://www.linkedin.com/in/linus-boehm/,technical,technical-peer (evals/production reliability),AI accounting for enterprise finance teams
Antoni Gmitruk,Founder & CTO,Golf,P25,https://linkedin.com/in/antoni-gmitruk-80a268211,technical,technical-peer (evals/production reliability),Agentic AI Security and Governance
Matthew Noseworthy,CTO & Co-Founder,GroundControl,P25,https://www.linkedin.com/in/matthew-noseworthy-218167106/,technical,technical-peer (evals/production reliability),Vertical AI for highly-regulated manufacturing
Michael Klikushin,CTO / Founder,Inspector,F25,https://www.linkedin.com/in/mklikushin,technical,technical-peer (evals/production reliability),AI IDE for front-end development
William Barthell,Co-Founder & CTO,Janet AI,S25,https://www.linkedin.com/in/william-barthell/,technical,technical-peer (evals/production reliability),The Autonomous Product Management System
Zack Leman,Co-Founder & CTO,Jarmin,F25,https://www.linkedin.com/in/zackleman/,technical,technical-peer (evals/production reliability),AI Employees for human-level roles
